Trial	N_Channels	Channels	ATE_Mean_cm	Status
405	8	d8,d16,d23,d25,d46,d48,d55,d56	21.4847	OK
406	8	d2,d3,d12,d23,d25,d35,d36,d46	29.6411	OK
407	8	d4,d17,d24,d28,d32,d35,d36,d48	30.7306	OK
408	8	d6,d8,d15,d21,d23,d25,d35,d50	22.4056	OK
409	6	d9,d12,d32,d38,d46,d48	29.9034	OK
410	6	d2,d8,d32,d51,d60,d61	26.2069	OK
411	6	d9,d29,d30,d33,d42,d51	18.9308	OK
412	6	d10,d17,d20,d39,d59,d62	29.9992	OK
413	4	d38,d43,d50,d62	27.0411	OK
414	4	d2,d38,d47,d60	29.3813	OK
415	4	d14,d39,d42,d53	26.8996	OK
416	4	d3,d29,d33,d60	36.0693	OK
417	8	d6,d10,d30,d33,d37,d39,d40,d46	22.1380	OK
418	8	d2,d9,d15,d36,d43,d44,d48,d52	25.9668	OK
419	8	d1,d9,d12,d14,d20,d26,d28,d58	30.1552	OK
420	8	d26,d30,d32,d39,d49,d55,d58,d63	31.4042	OK
421	6	d7,d8,d13,d33,d35,d45	24.3802	OK
422	6	d20,d24,d30,d33,d41,d42	23.0527	OK
423	6	d21,d22,d29,d34,d58,d60	26.3523	OK
424	6	d43,d45,d46,d49,d55,d62	31.5130	OK
425	4	d24,d31,d33,d61	28.2167	OK
426	4	d28,d35,d36,d38	33.6080	OK
427	4	d26,d40,d61,d62	22.0845	OK
428	4	d15,d35,d36,d44	19.7300	OK
429	8	d9,d22,d25,d48,d49,d51,d52,d57	26.7376	OK
430	8	d2,d5,d18,d22,d28,d37,d41,d45	28.7963	OK
431	8	d12,d13,d17,d30,d32,d34,d47,d52	22.9780	OK
432	8	d6,d8,d15,d34,d37,d39,d47,d57	20.3191	OK
433	6	d6,d14,d33,d40,d42,d57	25.1799	OK
434	6	d3,d6,d21,d26,d29,d45	20.9983	OK
435	6	d0,d6,d8,d43,d49,d60	27.1752	OK
436	6	d20,d26,d41,d56,d59,d60	24.3228	OK
437	4	d25,d36,d60,d61	29.1079	OK
