channel,condition,local_sharpness,global_sharpness,x_local,y_local
105,Clean,0.003442,0.016376,0.004063,0.002821
105,+30%,0.008563,0.008462,0.007424,0.009703
105,+50%,0.008479,0.008393,0.008850,0.008107
106,Clean,0.003805,0.017032,0.002942,0.004669
106,+30%,0.004661,0.015146,0.003173,0.006148
106,+50%,0.008756,0.009455,0.008642,0.008870
107,Clean,0.003056,0.015208,0.002713,0.003399
107,+30%,0.004028,0.012025,0.005411,0.002645
107,+50%,0.003184,0.013374,0.002700,0.003667
108,Clean,0.003539,0.015396,0.004462,0.002615
108,+30%,0.005910,0.009303,0.003673,0.008147
108,+50%,0.007014,0.008874,0.002191,0.011837
109,Clean,0.003085,0.015462,0.003315,0.002855
109,+30%,0.004048,0.012558,0.006083,0.002012
109,+50%,0.006718,0.009896,0.007001,0.006434
110,Clean,0.003206,0.014791,0.002299,0.004113
110,+30%,0.006038,0.015086,0.007334,0.004742
110,+50%,0.006103,0.010983,0.001511,0.010695
111,Clean,0.004045,0.018064,0.003558,0.004533
111,+30%,0.007879,0.011408,0.002416,0.013342
111,+50%,0.009919,0.009505,0.003679,0.016158
112,Clean,0.003437,0.015472,0.003087,0.003788
112,+30%,0.008550,0.010175,0.011552,0.005549
112,+50%,0.009579,0.009488,0.009420,0.009738
113,Clean,0.003366,0.016552,0.003473,0.003258
113,+30%,0.002962,0.014756,0.002753,0.003170
113,+50%,0.007686,0.011890,0.002842,0.012530
114,Clean,0.003356,0.016377,0.004012,0.002700
114,+30%,0.008763,0.010518,0.002500,0.015026
114,+50%,0.009161,0.008882,0.002696,0.015626
115,Clean,0.003041,0.013449,0.002045,0.004037
115,+30%,0.003338,0.013810,0.001969,0.004706
115,+50%,0.003542,0.013792,0.002511,0.004574
116,Clean,0.003338,0.015473,0.002219,0.004458
116,+30%,0.008195,0.010434,0.010828,0.005562
116,+50%,0.007962,0.009415,0.003380,0.012544
117,Clean,0.003445,0.015720,0.002979,0.003911
117,+30%,0.006504,0.012465,0.009671,0.003336
117,+50%,0.007192,0.012871,0.003713,0.010672
118,Clean,0.003119,0.014707,0.003186,0.003052
118,+30%,0.006812,0.009572,0.001914,0.011710
118,+50%,0.006789,0.009060,0.003931,0.009646
119,Clean,0.003273,0.016212,0.002870,0.003676
119,+30%,0.007816,0.009730,0.010378,0.005254
119,+50%,0.007976,0.009392,0.009717,0.006235
120,Clean,0.002996,0.014732,0.001925,0.004068
120,+30%,0.006774,0.012647,0.006669,0.006879
120,+50%,0.007305,0.008394,0.002068,0.012542
121,Clean,0.003591,0.016372,0.003083,0.004099
