rank,channels,source_stage,se3_ate_rmse_cm,se3_ate_mean_cm,rotation_ape_rmse_deg,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,translation_jump_flag,rotation_jump_flag,rpe_safety_pass,legacy_keyframe_sim3_mean_cm,legacy_keyframe_sim3_scale,legacy_keyframe_poses,photo_mse_median,photo_mse_nonfinite_count,valid_ratio_min
483,"24,52,59,63",bruteforce,9.828031857865954,8.649308949023682,152.67973650290716,3.0122669435857556,13.678394487186834,2.534081547059537,12.412401844867917,True,True,False,7.910465441776893,1.6583861800996373,7,2961.207275,0,0.961
484,"1,5,14,60",bruteforce,9.831703352206954,9.023194175811748,84.18790777757204,2.8317384484677746,12.496621151192656,1.9931379214900524,8.671855348524385,True,True,False,6.483587829524276,1.700495152532581,9,1313.07019,0,0.904
485,"18,24,40,52",bruteforce,9.833261101205707,8.634983309010442,97.83154060996401,2.8723883975954774,12.064169282581652,2.083374128237836,9.003343443258116,True,True,False,10.153389249645228,1.5146919259618876,7,3840.584961,0,0.911
486,"17,25,30,59",bruteforce,9.836604154346396,8.764402993117839,79.3338317182296,3.7687844453189943,20.054336065488137,2.489597064882109,12.898043549331916,True,True,False,2.102671348360425,1.3159481718187864,5,1350.704834,0,0.902
487,"14,52,59,60",bruteforce,9.840344436410408,9.006077237983193,142.53455401052898,3.683465946639842,17.400923179168576,3.0218594020733516,15.714519000357448,True,True,False,8.797252570059069,1.5212927765027766,8,10548.991211,0,0.953
488,"17,25,30,52",bruteforce,9.842393312600086,8.401593269300331,80.28058901120869,5.085965333920186,27.81379372114169,3.4606260804591726,18.67032769793476,True,True,False,8.863075439736294,0.7741768689738309,6,1057.209229,0,0.752
489,"8,30,50,52",bruteforce,9.847448539915048,9.123711943158606,95.88409946227826,2.9578442478133145,10.971467606661948,2.017214584351483,7.927800790276443,True,True,False,9.498291864015792,1.225433720219577,10,22.903475,0,0.914
490,"8,17,40,50",bruteforce,9.85014388752668,9.347876021036924,75.14110534575651,2.402983221646605,9.569668189467345,1.5865646800279494,4.951885755588783,True,False,False,9.561144151435009,1.3475123486017753,10,11.142582,0,0.938
491,"5,39,52,63",bruteforce,9.859395738419467,8.307047861192252,81.63144355414663,3.842326797602609,14.910587960181523,2.504901124820086,10.213232512655852,True,True,False,10.992761106123476,1.0425189961847314,6,3298.853516,0,0.881
492,"8,14,24,30",bruteforce,9.86216896846192,9.255157616585727,80.6388485011596,1.843931837408673,5.706987049612754,1.3754832881998922,2.9824406745251015,False,False,True,4.246194455865582,1.9682572427401475,5,41.733833,0,0.962
493,"5,8,14,18",bruteforce,9.867303407008581,9.271482018927088,78.61609012357,2.2254338664353286,9.014604734689556,1.5495856363092213,4.63722868768338,True,False,False,5.419761310834768,1.6990913945715604,6,5788.834961,0,0.947
494,"14,15,30,52",bruteforce,9.868375969141802,9.01083772174799,100.07813737727682,3.3530926475866982,17.162286840448306,2.1928908549145594,10.748183116406214,True,True,False,3.7642419763095116,1.5439058502651466,6,560.179932,0,0.867
495,"23,30,52,59",bruteforce,9.872554856399459,7.962513800522783,103.61466412275189,2.907433305076974,11.533574129811365,1.7992424343626041,6.186843346414742,True,True,False,10.669073667083406,1.4012730931992652,6,4823.67334,0,0.921
496,"8,14,52,62",bruteforce,9.873394170273633,8.118987077111157,118.08536417180807,4.129076152273691,23.262902075015752,2.5701981893203434,13.561103275653045,True,True,False,11.26019408976369,1.2411284304699912,5,353747.46875,0,0.795
497,"5,30,52,56",bruteforce,9.874720799389024,8.686271416274968,98.38915875298291,4.73882202001464,27.064399244101345,3.3145816923689586,18.98583778667068,True,True,False,2.990725801720673,1.1083534324884898,5,7433.423828,0,0.819
498,"1,14,24,60",bruteforce,9.877380041917187,9.079523291583373,78.51406089291655,2.5249693508903723,9.361999758741089,1.6602888513963145,4.855008277348572,True,False,False,7.153251073339198,1.588441743107407,9,1640.784912,0,0.953
499,"8,18,40,52",bruteforce,9.882728962704688,8.895645585886285,164.4272335317237,3.7559095463753542,18.352730643630828,2.7429862347163896,13.738153030933672,True,True,False,8.30797495993938,1.5190354942409028,8,2828.632812,0,0.927
500,"24,26,27,52",bruteforce,9.885607201440795,9.160669885400338,107.73811639657966,2.48415834779624,8.990852493655344,1.736559603256429,6.638448336428301,True,True,False,7.005180179298791,1.5675486050727068,8,3892.944824,0,0.954
501,"12,15,34,52",rescue,9.886111848717535,8.158700445038006,78.38733242877126,4.09273870088335,21.64702852748492,2.5859024592801085,12.94787978436125,True,True,False,9.188065237645624,1.124875061573242,4,37430.523438,10,0.847
502,"8,17,25,27",bruteforce,9.8896618480346,9.321520202080649,79.88798818761573,2.2209516458793934,9.578917644162349,1.598887070598777,5.621463566205327,True,True,False,5.718343602100281,1.6816548773337128,6,17487.771484,0,0.933
503,"0,6,11,32",bruteforce,9.889863802709522,8.731042058849889,93.1258658871165,2.284479095390693,7.834306779899144,1.9219548080018094,6.683481383270614,True,True,False,9.534867638942256,1.4998738950763568,6,5837.14502,0,0.94
504,"1,5,26,63",bruteforce,9.892957553281265,8.680109755033607,79.0733007095064,5.706275538246256,31.404283911563592,3.4766621185226105,18.91441832554402,True,True,False,6.9917095705109205,0.799740431468657,8,1884.843628,0,0.631
505,"8,27,34,39",bruteforce,9.893018483356443,8.623343322940933,92.98437552684825,4.5020497722017465,25.102825184901,2.9417852958690682,15.878002493671278,True,True,False,3.2751523741467565,1.1003266154120375,6,17074.787109,0,0.768
506,"24,25,52,59",bruteforce,9.894241908527803,8.868979166456182,68.76388731381371,2.4434279871043096,9.805590077902991,1.8614636284230492,8.003917246691524,True,True,False,8.839388266036659,1.6845400286019687,7,8347.760742,0,0.953
507,"25,27,39,52",bruteforce,9.904752218291328,8.882869420087296,105.13037315510013,4.126490460981338,16.960870533257825,2.6109037305798903,11.754946017005725,True,True,False,9.966349373901979,1.0154515220090965,7,2616.588135,0,0.852
508,"15,27,52,59",bruteforce,9.911547618542995,9.036527205888675,135.31901972111467,2.532960997800543,9.279051842880575,1.6475944407612992,4.462341809354187,True,False,False,7.569198718636481,1.6390177431169242,9,1633.474976,0,0.945
509,"11,25,31,33",bruteforce,9.911718576762903,8.85607775557687,91.61050405416934,2.456521085910832,7.985329286657433,1.9988214781770965,6.080337920970493,True,True,False,9.221666555846218,1.568978173396162,7,3637.343994,0,0.928
510,"15,18,27,39",bruteforce,9.92960821330564,8.344371097838263,142.05234729219387,5.291493745168283,28.39309990034845,3.5198897182775015,18.71142162537993,True,True,False,8.7103772881509,0.8381673374781166,8,22.228189,0,0.717
511,"1,5,14,23",bruteforce,9.93159931422927,8.909417478187269,78.48352434643917,3.7916011592456442,18.170406668671834,2.452610126837328,12.140380288331489,True,True,False,9.39315368639943,1.067688652842337,8,1132.432617,0,0.758
512,"5,8,30,59",bruteforce,9.937282413724612,9.125057101566348,86.76153099307406,2.322701304868481,9.897631044187357,1.6692209137966854,6.498101262146879,True,True,False,8.472754442380255,1.7296395065353245,7,13.146272,0,0.945
513,"8,26,60,63",bruteforce,9.94230886304493,8.800298233577557,77.15338960926239,3.101256823520474,14.77599352991854,2.1395673439869127,10.10458404933383,True,True,False,8.97664559886476,1.3612980852184464,8,1153.973511,0,0.856
514,"23,26,52,63",bruteforce,9.945223259930332,9.129537545000817,73.90260984790831,3.1428176801985495,12.0243995991986,1.8761397281458463,6.2169002998416385,True,True,False,8.759511236542169,1.434603728271,7,6544.246582,0,0.919
515,"11,31,33,43",bruteforce,9.94766083779294,8.442038404485668,90.68041244989521,4.684224189850551,23.23669605762662,3.327630683541478,16.397607353534195,True,True,False,9.657769909328993,0.8683743246140814,7,1207.699463,0,0.763
516,"5,14,17,50",bruteforce,9.9488840272525,8.952862314960674,70.58080946389936,2.6689323502033684,9.057284947951679,1.7321047105935714,5.7175340111162845,True,True,False,7.368963578922851,1.3744689378419654,7,219.935303,0,0.924
517,"23,52,60,63",bruteforce,9.950605755455513,8.883492078380522,70.3799252075801,3.8024699614366284,15.466460264093584,2.23965924164465,8.808785838652604,True,True,False,8.65973291526637,1.3170058939520137,7,9434.951172,0,0.927
518,"14,24,42,59",rescue,9.95420088702996,8.456393581546386,68.56078756700828,3.413451780205613,13.722648330127155,2.3527235421429724,8.797047442457135,True,True,False,3.81306330453599,1.3301592786320013,6,23.418083,0,0.848
519,"27,30,52,59",bruteforce,9.954590940238514,9.279037527464082,85.44695560307157,2.534688190740562,8.636123355911131,1.7713403446742917,5.530167845089415,True,True,False,7.218520514947096,1.7031705117775096,8,23.635639,0,0.928
520,"0,8,30,52",bruteforce,9.9568161322937,8.885826236154811,99.27333875033926,3.816440813748468,17.016875318771206,2.676481379524387,10.674151610983063,True,True,False,9.98405893345983,0.9261935425133347,7,60.525734,0,0.877
521,"8,17,39,50",bruteforce,9.963566356494821,9.459637275324948,80.18400464346708,2.1368117288550716,7.096875404282265,1.4907033725682366,3.6187156304074692,True,False,False,5.705358862795688,1.786257624279965,7,52.820316,0,0.909
522,"5,23,27,52",bruteforce,9.97057528831934,8.408363596511096,86.23255631298187,4.443889756896504,23.71127426574523,3.1499995294456937,17.596697672290897,True,True,False,9.41461490531765,1.1090822138300087,7,8157.14502,0,0.89
523,"25,27,40,50",bruteforce,9.971153657188331,9.12238062939903,85.38027631583196,2.325401307301057,9.390900978318026,1.744474888371201,7.000358502261169,True,True,False,6.927755013402381,1.9079888167782,6,1355.763672,0,0.88
524,"5,20,26,52",bruteforce,9.974145790280605,8.689809926332817,68.73106389598726,3.7694936741689435,18.983018085394978,2.418496010473297,11.393743538823399,True,True,False,11.601735407343135,1.074601060688719,8,7630.004883,0,0.863
525,"18,28,39,59",rescue,9.974302409801576,8.313635237624482,82.6387217773662,3.5434120048486646,18.16978839027611,2.575484287402272,11.618023428482854,True,True,False,7.8001826076076615,1.24060323834124,7,2401.115723,0,0.861
526,"5,8,23,26",bruteforce,9.975406606512676,8.786866908262922,77.49722458168213,4.686030248118761,24.94057913570868,2.9483655722187834,15.21989379358061,True,True,False,8.723721058516302,0.8813034003917241,7,2706.64917,0,0.692
527,"14,15,18,39",bruteforce,9.976117518214778,9.3252576839608,83.36958678598069,2.271511724370931,10.19851426414265,1.686223921075008,6.929115642133818,True,True,False,5.104449343227745,1.9445025717611357,7,4892.186035,0,0.936
528,"1,23,52,56",bruteforce,9.97957581352512,8.797175120536119,67.88821368642365,3.21848616063378,16.5380944081392,2.3444063227207375,11.960996705176665,True,True,False,9.33258591954355,1.504086961259222,7,40261.6875,0,0.944
529,"17,18,27,52",bruteforce,9.979605723274938,8.317401580162329,92.68248502184119,5.5619509312510775,32.145208237970664,3.319137986498855,18.71852863094621,True,True,False,8.00275421902886,0.9925897226827589,8,7020.726074,0,0.691
530,"11,25,32,57",swapback_single,9.980555284258605,8.855526605244798,85.2888055534665,4.373016408792902,19.52154505840859,3.047222334309743,13.894632144026767,True,True,False,9.39654677801816,0.9638173594318964,8,1375.731445,0,0.818
531,"39,40,50,52",bruteforce,9.986286410028898,8.768541267250837,93.20523324153541,4.233609940320565,18.61746768904123,2.4849729516878485,9.756667171147708,True,True,False,10.35057168326231,1.2518379494979441,8,1080.059937,0,0.808
532,"5,18,24,52",bruteforce,9.990628946891043,8.37050139715181,75.65373396249721,3.9273724392211182,19.06827703542874,2.8862678697506996,14.865636468444961,True,True,False,9.31877113037063,1.1010197746045602,7,10160.21875,0,0.865
533,"18,40,52,63",bruteforce,9.990999770547656,8.887100360080192,101.55681698185626,2.4603868652671363,8.788934866204455,1.9195217434292238,7.240841727281367,True,True,False,8.729969429397112,1.618964384604569,6,6485.662109,0,0.943
