step,beam,channel,subset,bqs,marginal
2,beam1(seed=ch39),58,"[39, 58]",0.6723212021886238,-0.002345
2,beam1(seed=ch39),59,"[39, 59]",0.6087753941348695,-0.065891
2,beam1(seed=ch39),60,"[39, 60]",0.6230543693594779,-0.051612
2,beam1(seed=ch39),61,"[39, 61]",0.6632011643442525,-0.011466
2,beam1(seed=ch39),62,"[39, 62]",0.6350493845305951,-0.039617
2,beam1(seed=ch39),63,"[39, 63]",0.6048090440348707,-0.069858
2,beam1(seed=ch39),64,"[39, 64]",0.5487936949936417,-0.125873
2,beam1(seed=ch39),65,"[39, 65]",0.6097798931156293,-0.064887
2,beam1(seed=ch39),66,"[39, 66]",0.6900154552649542,0.015349
2,beam1(seed=ch39),67,"[39, 67]",0.6128462415692701,-0.06182
2,beam1(seed=ch39),68,"[39, 68]",0.6369775719232375,-0.037689
2,beam1(seed=ch39),69,"[39, 69]",0.5885900116757657,-0.086077
2,beam1(seed=ch39),70,"[39, 70]",0.6562783230936117,-0.018388
2,beam1(seed=ch39),71,"[39, 71]",0.5997455748079392,-0.074921
2,beam1(seed=ch39),72,"[39, 72]",0.4774246518902816,-0.197242
2,beam1(seed=ch39),73,"[39, 73]",0.6404577962623541,-0.034209
2,beam1(seed=ch39),74,"[39, 74]",0.6021974631132054,-0.072469
2,beam1(seed=ch39),75,"[39, 75]",0.6349801971258219,-0.039686
2,beam1(seed=ch39),76,"[39, 76]",0.6287792873704672,-0.045887
2,beam1(seed=ch39),77,"[39, 77]",0.5728959075970701,-0.101771
2,beam1(seed=ch39),78,"[39, 78]",0.6377981439304069,-0.036869
2,beam1(seed=ch39),79,"[39, 79]",0.47794796420328584,-0.196719
2,beam1(seed=ch39),80,"[39, 80]",0.6610699225220897,-0.013597
2,beam1(seed=ch39),81,"[39, 81]",0.6723993424530862,-0.002267
2,beam1(seed=ch39),82,"[39, 82]",0.6054981902546543,-0.069168
2,beam1(seed=ch39),83,"[39, 83]",0.6230952397370116,-0.051571
2,beam1(seed=ch39),84,"[39, 84]",0.616103026633783,-0.058564
2,beam1(seed=ch39),85,"[39, 85]",0.6359944598663524,-0.038672
2,beam1(seed=ch39),86,"[39, 86]",0.6133613430978779,-0.061305
2,beam1(seed=ch39),87,"[39, 87]",0.6317019073459444,-0.042965
2,beam1(seed=ch39),88,"[39, 88]",0.5656800668395636,-0.108987
2,beam1(seed=ch39),89,"[39, 89]",0.5802303098940795,-0.094436
2,beam1(seed=ch39),90,"[39, 90]",0.6361607396437415,-0.038506
2,beam1(seed=ch39),91,"[39, 91]",0.6677623152746931,-0.006904
2,beam1(seed=ch39),92,"[39, 92]",0.6346334677604021,-0.040033
2,beam1(seed=ch39),93,"[39, 93]",0.6422698730405718,-0.032397
2,beam1(seed=ch39),94,"[39, 94]",0.6447013202211663,-0.029965
2,beam1(seed=ch39),95,"[39, 95]",0.6663362645004723,-0.00833
2,beam1(seed=ch39),96,"[39, 96]",0.6611304703243684,-0.013536
2,beam1(seed=ch39),97,"[39, 97]",0.6636653182385023,-0.011001
2,beam1(seed=ch39),98,"[39, 98]",0.6339286149900557,-0.040738
2,beam1(seed=ch39),99,"[39, 99]",0.6369245761778346,-0.037742
2,beam1(seed=ch39),100,"[39, 100]",0.6672652715221498,-0.007401
2,beam1(seed=ch39),101,"[39, 101]",0.6710171063639777,-0.00365
2,beam1(seed=ch39),102,"[39, 102]",0.6278551157783889,-0.046812
2,beam1(seed=ch39),103,"[39, 103]",0.6002849259930577,-0.074382
2,beam1(seed=ch39),104,"[39, 104]",0.6405703898687581,-0.034096
2,beam1(seed=ch39),105,"[39, 105]",0.5528407736593763,-0.121826
2,beam1(seed=ch39),106,"[39, 106]",0.6547770361836014,-0.01989
2,beam1(seed=ch39),107,"[39, 107]",0.6549291049852012,-0.019738
2,beam1(seed=ch39),108,"[39, 108]",0.6173967963049982,-0.05727
2,beam1(seed=ch39),109,"[39, 109]",0.6275477312877662,-0.047119
2,beam1(seed=ch39),110,"[39, 110]",0.6365114749961841,-0.038155
2,beam1(seed=ch39),111,"[39, 111]",0.5827804670694756,-0.091886
2,beam1(seed=ch39),112,"[39, 112]",0.6643446395137389,-0.010322
2,beam1(seed=ch39),113,"[39, 113]",0.5924972152314083,-0.082169
2,beam1(seed=ch39),114,"[39, 114]",0.6191691550779387,-0.055498
2,beam1(seed=ch39),115,"[39, 115]",0.5161392702888313,-0.158527
2,beam1(seed=ch39),116,"[39, 116]",0.6214840945210871,-0.053183
2,beam1(seed=ch39),117,"[39, 117]",0.6628967107487315,-0.01177
2,beam1(seed=ch39),118,"[39, 118]",0.6190469240311826,-0.05562
2,beam1(seed=ch39),119,"[39, 119]",0.6420654990724305,-0.032601
2,beam1(seed=ch39),120,"[39, 120]",0.6709690829205907,-0.003698
2,beam1(seed=ch39),121,"[39, 121]",0.6637472695419236,-0.010919
2,beam1(seed=ch39),122,"[39, 122]",0.6061355888254738,-0.068531
2,beam1(seed=ch39),123,"[39, 123]",0.6924117717381316,0.017745
2,beam1(seed=ch39),124,"[39, 124]",0.6061091433743686,-0.068558
2,beam1(seed=ch39),125,"[39, 125]",0.6113613805361281,-0.063305
2,beam1(seed=ch39),126,"[39, 126]",0.5476292233244536,-0.127037
2,beam1(seed=ch39),127,"[39, 127]",0.619871766149456,-0.054795
2,beam2(seed=ch66),0,"[66, 0]",0.6472994746670065,0.005798
2,beam2(seed=ch66),1,"[66, 1]",0.6143190478459374,-0.027183
2,beam2(seed=ch66),2,"[66, 2]",0.6237576693096292,-0.017744
2,beam2(seed=ch66),3,"[66, 3]",0.6308487842813487,-0.010653
