dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine03_coarse01,resnet_c2f_b_fine03_coarse01,Step-R:new,c2f,B,3,1,"C2F-B; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,7.6435,8.946800000000001,0.9594,12.481953191320764,11.72235807857192,3.573706119823704,1.9303888229430897,0.9965095986038395,47.95895600299991,8
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine03_coarse02,resnet_c2f_b_fine03_coarse02,Step-R:new,c2f,B,3,2,"C2F-B; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,8.2465,9.2568,1.1038,13.030987774970626,12.511419436150215,10.108630683937315,1.9339977468788472,0.9965095986038395,48.1515912199975,13
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine03_coarse03,resnet_c2f_b_fine03_coarse03,Step-R:new,c2f,B,3,3,"C2F-B; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.3315,21.1913,2.0282999999999998,22.246568251324845,20.88291487984815,34.8029755847015,8.556433890004794,0.9965095986038395,47.823968857999716,50
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine03_coarse04,resnet_c2f_b_fine03_coarse04,Step-R:new,c2f,B,3,4,"C2F-B; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,6.7293,7.9084,1.0817999999999999,12.06316035448436,11.498113427649978,9.249834420597452,4.695446475098149,0.9965095986038395,47.301903800005675,6
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine03_coarse05,resnet_c2f_b_fine03_coarse05,Step-R:new,c2f,B,3,5,"C2F-B; fine conv1[d15,d20,d26,d34,d45,d53]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,6.0162,7.208100000000001,1.0352000000000001,11.466578779312124,10.825065318852332,7.2124054287349315,5.5497847145818575,0.9965095986038395,47.49972797200462,1
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine04_coarse01,resnet_c2f_b_fine04_coarse01,Step-R:new,c2f,B,4,1,"C2F-B; fine conv1[d33,d52]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,8.998000000000001,9.8841,1.0044000000000002,12.982088430704389,12.341547768566649,3.752787824252978,5.20602607796465,0.9965095986038395,47.15143485199951,14
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine04_coarse02,resnet_c2f_b_fine04_coarse02,Step-R:new,c2f,B,4,2,"C2F-B; fine conv1[d33,d52]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,12.3988,13.6323,1.1792,15.968806467021892,15.222845169739804,12.403342000549076,2.50471032044869,0.9965095986038395,47.090596019996156,29
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine04_coarse03,resnet_c2f_b_fine04_coarse03,Step-R:new,c2f,B,4,3,"C2F-B; fine conv1[d33,d52]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,13.025400000000001,14.2074,1.1779,16.194394251429777,15.439910675147003,8.943479861022642,9.600438693540642,0.9965095986038395,46.920361542994215,33
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine04_coarse04,resnet_c2f_b_fine04_coarse04,Step-R:new,c2f,B,4,4,"C2F-B; fine conv1[d33,d52]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,23.377200000000002,25.084400000000002,1.9789,25.601699822761493,24.105685357363274,34.41049451590288,7.643866448771476,0.9965095986038395,46.424184438998054,69
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine04_coarse05,resnet_c2f_b_fine04_coarse05,Step-R:new,c2f,B,4,5,"C2F-B; fine conv1[d33,d52]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,11.1903,12.348099999999999,0.9828,14.597092551605542,13.900106726770087,3.5833109422528584,1.9381128012858486,0.9965095986038395,46.845517617999576,22
