stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
direct_greedy,g_pair_seed_sweep_d00_d59,0,"0,59","[0, 59]",g_pair_seed_sweep_d00_d59,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.368920+00:00
direct_greedy,g_pair_seed_sweep_d00_d60,0,"0,60","[0, 60]",g_pair_seed_sweep_d00_d60,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.375314+00:00
direct_greedy,g_pair_seed_sweep_d00_d61,0,"0,61","[0, 61]",g_pair_seed_sweep_d00_d61,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.381705+00:00
direct_greedy,g_pair_seed_sweep_d00_d62,0,"0,62","[0, 62]",g_pair_seed_sweep_d00_d62,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.388130+00:00
direct_greedy,g_pair_seed_sweep_d00_d63,0,"0,63","[0, 63]",g_pair_seed_sweep_d00_d63,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.394886+00:00
direct_greedy,g_pair_seed_sweep_d01_d02,0,"1,2","[1, 2]",g_pair_seed_sweep_d01_d02,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.402001+00:00
direct_greedy,g_pair_seed_sweep_d01_d03,0,"1,3","[1, 3]",g_pair_seed_sweep_d01_d03,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.409401+00:00
direct_greedy,g_pair_seed_sweep_d01_d04,0,"1,4","[1, 4]",g_pair_seed_sweep_d01_d04,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.417036+00:00
direct_greedy,g_pair_seed_sweep_d01_d05,0,"1,5","[1, 5]",g_pair_seed_sweep_d01_d05,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.424700+00:00
direct_greedy,g_pair_seed_sweep_d01_d06,0,"1,6","[1, 6]",g_pair_seed_sweep_d01_d06,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.432054+00:00
direct_greedy,g_pair_seed_sweep_d01_d07,0,"1,7","[1, 7]",g_pair_seed_sweep_d01_d07,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.438768+00:00
direct_greedy,g_pair_seed_sweep_d01_d08,0,"1,8","[1, 8]",g_pair_seed_sweep_d01_d08,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.445247+00:00
direct_greedy,g_pair_seed_sweep_d01_d09,0,"1,9","[1, 9]",g_pair_seed_sweep_d01_d09,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.452145+00:00
direct_greedy,g_pair_seed_sweep_d01_d10,0,"1,10","[1, 10]",g_pair_seed_sweep_d01_d10,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.459362+00:00
direct_greedy,g_pair_seed_sweep_d01_d11,0,"1,11","[1, 11]",g_pair_seed_sweep_d01_d11,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.466696+00:00
